Naturaleza de la finca;Provincias;Duración en años;Número e importe;Periodo;Total
Fincas de secano;Total Nacional;Total;Número de hipotecas;2003;20.616
Fincas de secano;Total Nacional;Total;Número de hipotecas;2002;19.909
Fincas de secano;Total Nacional;Total;Número de hipotecas;2001;18.664
Fincas de secano;Total Nacional;Total;Número de hipotecas;2000;19.361
Fincas de secano;Total Nacional;Total;Número de hipotecas;1999;18.142
Fincas de secano;Total Nacional;Total;Número de hipotecas;1998;18.285
Fincas de secano;Total Nacional;Total;Número de hipotecas;1997;16.787
Fincas de secano;Total Nacional;Total;Número de hipotecas;1996;14.522
Fincas de secano;Total Nacional;Total;Número de hipotecas;1995;16.899
Fincas de secano;Total Nacional;Total;Número de hipotecas;1994;18.391
Fincas de secano;Total Nacional;Total;Importe de hipotecas;2003;2.972.256
Fincas de secano;Total Nacional;Total;Importe de hipotecas;2002;2.372.246
Fincas de secano;Total Nacional;Total;Importe de hipotecas;2001;1.948.544
Fincas de secano;Total Nacional;Total;Importe de hipotecas;2000;1.793.679
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1999;1.454.858
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1998;1.184.811
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1997;952.971
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1996;794.231
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1995;925.240
Fincas de secano;Total Nacional;Total;Importe de hipotecas;1994;972.852
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;2003;3.874
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;2002;3.558
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;2001;3.499
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;2000;3.352
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1999;3.157
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1998;3.724
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1997;3.682
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1996;3.807
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1995;4.876
Fincas de secano;Total Nacional;Hasta 9 años;Número de hipotecas;1994;6.076
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;2003;1.148.479
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;2002;767.490
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;2001;544.596
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;2000;420.354
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1999;335.599
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1998;300.542
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1997;244.546
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1996;237.790
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1995;352.458
Fincas de secano;Total Nacional;Hasta 9 años;Importe de hipotecas;1994;363.817
