Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;;;Viviendas: Total;2021;565.523
Total Nacional;;;Viviendas: Total;2020;420.238
Total Nacional;;;Viviendas: Total;2019;505.467
Total Nacional;;;Viviendas: Total;2018;517.984
Total Nacional;;;Viviendas: Total;2017;467.644
Total Nacional;;;Viviendas: Total;2016;405.385
Total Nacional;;;Viviendas: Total;2015;355.556
Total Nacional;;;Viviendas: Total;2014;318.830
Total Nacional;;;Viviendas: Total;2013;312.593
Total Nacional;;;Viviendas: Total;2012;318.534
Total Nacional;;;Viviendas: Total;2011;359.824
Total Nacional;;;Viviendas: Total;2010;439.591
Total Nacional;;;Viviendas: Total;2009;413.393
Total Nacional;;;Viviendas: Total;2008;552.080
Total Nacional;;;Viviendas: Total;2007;775.300
Total Nacional;;;Vivienda nueva;2021;115.038
Total Nacional;;;Vivienda nueva;2020;83.561
Total Nacional;;;Vivienda nueva;2019;92.946
Total Nacional;;;Vivienda nueva;2018;91.716
Total Nacional;;;Vivienda nueva;2017;83.240
Total Nacional;;;Vivienda nueva;2016;75.134
Total Nacional;;;Vivienda nueva;2015;76.954
Total Nacional;;;Vivienda nueva;2014;117.519
Total Nacional;;;Vivienda nueva;2013;143.771
Total Nacional;;;Vivienda nueva;2012;155.890
Total Nacional;;;Vivienda nueva;2011;174.299
Total Nacional;;;Vivienda nueva;2010;220.612
Total Nacional;;;Vivienda nueva;2009;218.775
Total Nacional;;;Vivienda nueva;2008;278.034
Total Nacional;;;Vivienda nueva;2007;326.382
Total Nacional;;;Vivienda usada;2021;450.485
Total Nacional;;;Vivienda usada;2020;336.677
Total Nacional;;;Vivienda usada;2019;412.521
Total Nacional;;;Vivienda usada;2018;426.268
Total Nacional;;;Vivienda usada;2017;384.404
Total Nacional;;;Vivienda usada;2016;330.251
Total Nacional;;;Vivienda usada;2015;278.602
Total Nacional;;;Vivienda usada;2014;201.311
Total Nacional;;;Vivienda usada;2013;168.822
